"Id"	"Prompt"	"Wavfile"	"RecResult"	"Transcription"	"language"	"meaning"
"5835"	"Frag: Zimmer für 4 Nächte"	"5835.wav"	"a room for four nights"	"a room for four nights"	"correct"	"correct"
"5836"	"Frag: Junior Suite"	"5836.wav"	"junior suite"	"junior*z suite"	"correct"	"correct"
"5837"	"Frag: Junior Suite"	"5837.wav"	"junior"	"kinderzimmer*v"	"incorrect"	"incorrect"
"5839"	"Sag: Ich möchte mit Postkarte bezahlen"	"5839.wav"	"i would like to pay by post card"	"i would like to pay by post card"	"correct"	"correct"
"5840"	"Frag: Gibt es einen Coiffeur?"	"5840.wav"	"is there a hairdresser"	"is there a hairdresser"	"correct"	"correct"
"5841"	"Frag: Wo ist der Coiffeur?"	"5841.wav"	"who is the hairdresser"	"who is the hairdresser"	"incorrect"	"incorrect"
"5842"	"Frag: 5 Tickets nach London"	"5842.wav"	"five tickets to london"	"five tickets to london"	"correct"	"correct"
"5843"	"Frag: 5 Tickets nach London"	"5843.wav"	"i would like five tickets to london"	"i would like five tickets to london"	"correct"	"correct"
"5844"	"Frag: ein Ticket nach London"	"5844.wav"	"i would one ticket to london"	"i would one ticket*z to london"	"incorrect"	"correct"
"5845"	"Sag: Ich möchte um 11 Uhr morgen abreisen"	"5845.wav"	"i would like to leave tomorrow at eleven uh a m"	"i would like to leave tomorrow at eleven uh a m"	"correct"	"correct"
"5846"	"Sag: Ich heisse Maddalena"	"5846.wav"	"my name is maddalena"	"my name is maddalena"	"correct"	"correct"
"5847"	"Sag: Ich bin aus Spanien"	"5847.wav"	"i'm from spain"	"i am from spain"	"correct"	"correct"
"5848"	"Frag: Zimmer für 2 Nächte"	"5848.wav"	"room for three nights"	"room for three nights"	"incorrect"	"incorrect"
"5849"	"Frag: Zimmer für 6 Nächte"	"5849.wav"	"i want a room for six nights"	"i want a room for six nights"	"correct"	"correct"
"5851"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"5851.wav"	"can i pay by credit card"	"can i pay by credit card"	"correct"	"correct"
"5852"	"Frag: Gibt es einen Lebensmittelladen?"	"5852.wav"	"is there a grocery store"	"is there a grocery store"	"correct"	"correct"
"5853"	"Frag: Wo ist der Lebensmittelladen?"	"5853.wav"	"where is the grocery store"	"where is the grocery store"	"correct"	"correct"
"5854"	"Frag: Zimmer für 5 Nächte"	"5854.wav"	"i would like a room for five nights"	"i would like a room for five nights"	"correct"	"correct"
"5855"	"Frag: Twinzimmer"	"5855.wav"	"a twin room please"	"a twin room please"	"correct"	"correct"
"5856"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"5856.wav"	"i would like to pay by credit card"	"i would like to pay by credit card"	"correct"	"correct"
"5858"	"Frag: Wo ist der Lebensmittelladen?"	"5858.wav"	"where is the grocery store"	"where*z is the grocery store"	"correct"	"correct"
"5859"	"Sag: Ich heisse Sarah"	"5859.wav"	"my name is sarah"	"my name is sarah"	"correct"	"correct"
"5860"	"Sag: Ich bin aus der Türkei"	"5860.wav"	"i'm from turkey"	"i'm from turkey"	"correct"	"correct"
"5861"	"Sag: Die Hauptstadt von der Türkei ist Ankara"	"5861.wav"	"the capital country of turkey is ankara"	"the capital country of turkey is ankara"	"incorrect"	"correct"
"5862"	"Sag: Die Hauptstadt von der Türkei ist Ankara"	"5862.wav"	"the capital country of turkey is ankara"	"the capital country of turkey is ankara"	"incorrect"	"correct"
"5863"	"Frag: Zimmer für 3 Nächte"	"5863.wav"	"i would like a room for three nights become"	"i would like a room for three nights become"	"incorrect"	"correct"
"5865"	"Frag: Zimmer für 3 Nächte"	"5865.wav"	"i would like a room for three nights"	"i would like a room for three nights"	"correct"	"correct"
"5867"	"Frag: Einzelzimmer"	"5867.wav"	"one room"	"one room"	"incorrect"	"incorrect"
"5868"	"Frag: Einzelzimmer"	"5868.wav"	"a single room"	"a single room"	"correct"	"correct"
"5869"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"5869.wav"	"can i pay by credit card"	"can i pay by credit card"	"correct"	"correct"
"5870"	"Sag: Ich möchte mit Schweizer Franken bezahlen"	"5870.wav"	"can i pay by swiss franc"	"can i pay by swiss franc"	"incorrect"	"correct"
"5871"	"Sag: Ich möchte mit Schweizer Franken bezahlen"	"5871.wav"	"can i pay a swiss franc"	"can i pay a swiss franc*z"	"incorrect"	"correct"
"5872"	"Sag: Ich möchte mit Schweizer Franken bezahlen"	"5872.wav"	"can i pay by swiss franc"	"can i pay by swiss franc"	"incorrect"	"correct"
"5873"	"Frag: Gibt es eine Hotelbar?"	"5873.wav"	"is there the hotel bar"	"is there the hotel bar"	"incorrect"	"correct"
"5874"	"Frag: Wo ist die Hotelbar?"	"5874.wav"	"who is hotel bar"	"who is hotel bar"	"incorrect"	"incorrect"
"5876"	"Frag: Zimmer für 2 Nächte"	"5876.wav"	"i would like a room for two nights"	"i would like a room for two nights"	"correct"	"correct"
"5877"	"Frag: Zimmer für 2 Nächte"	"5877.wav"	"i would like a room for two nights"	"i would like an room for two nights"	"incorrect"	"correct"
"5878"	"Frag: Einzelzimmer"	"5878.wav"	"a single room"	"a single room"	"correct"	"correct"
"5880"	"Sag: Ich möchte mit Visa bezahlen"	"5880.wav"	"i would like to pay by like visa"	"i would like to pay by like visa"	"incorrect"	"correct"
"5881"	"Frag: Gibt es einen Lift?"	"5881.wav"	"is there a lift"	"is there a lift*v"	"correct"	"correct"
"5882"	"Sag: Ich heisse John"	"5882.wav"	"my name is john"	"my name is john*z"	"correct"	"correct"
"5883"	"Sag: Ich bin aus Italien"	"5883.wav"	"i am from italy"	"i am from italy"	"correct"	"correct"
"5884"	"Sag: Die Hauptstadt von Italien ist Rom"	"5884.wav"	"the capital of italy is rome"	"the capital of italy is rome"	"correct"	"correct"
