Id	Prompt	Wavfile	Transcription	language	meaning
3570	Frag: Zimmer für 1 Woche	3570.wav	can i have a hotel room for one night	incorrect	incorrect
3571	Frag: Zimmer für 1 Woche	3571.wav	i want a room for one week	correct	correct
3572	Frag: Twinzimmer	3572.wav	a twin room please	correct	correct
3573	Sag: Ich möchte mit Kreditkarte bezahlen	3573.wav	can i pay by credit card	correct	correct
3574	Frag: Gibt es ein Fitnessstudio?	3574.wav	have a fitness studio	incorrect	correct
3575	Frag: 3 Musical-Tickets	3575.wav	i would like to buy three musical tickets	correct	correct
3576	Sag: Ich möchte am Montagabend gehen	3576.wav	i would like to go on monday night	correct	correct
3577	Sag: Ich möchte am Montagabend gehen	3577.wav	i would like to go on monday night	correct	correct
3579	Frag: 3 Tickets für König der Löwen	3579.wav	i want three tickets for the lion king	correct	correct
3580	Sag: Ich möchte vorne sitzen	3580.wav	i would like to sit in the john	incorrect	incorrect
3581	Sag: Ich möchte vorne sitzen	3581.wav	i would like to sit in the front	correct	correct
3582	Sag: Ich möchte vorne sitzen	3582.wav	i would like to sit in the front	correct	correct
3583	Frag: Tickets für die National Gallery	3583.wav	i would like tickets for the national gallery	correct	correct
3584	Frag: Tickets für die National Gallery	3584.wav	i would like i would like nationaly gal i would ah mann	incorrect	incorrect
3587	Frag: ein Ticket zum Piccadilly Circus	3587.wav	i would like a ticket to piccadilly circus	correct	correct
3588	Sag: Ich möchte mit Visa bezahlen	3588.wav	i would like to pay with visa	correct	correct
3589	Sag: Ich möchte mit Visa bezahlen	3589.wav	i would like to pay be visa	incorrect	correct
3590	Frag: ein Ticket zum Green Park	3590.wav	i need a ticket to green park	correct	correct
3592	Sag: Ich möchte mit Visa bezahlen	3592.wav	i would like to bay with visa	incorrect	correct
3593	Sag: Ich möchte mit Pfund bezahlen	3593.wav	can i pay by pound	incorrect	correct
3594	Sag: Ich möchte mit Pfund bezahlen	3594.wav	can i pay by pound	incorrect	correct
3595	Sag: Ich möchte mit Pfund bezahlen	3595.wav	can i pay by pounds	incorrect	correct
3596	Frag: ein Ticket nach Notting Hill	3596.wav	i would like a ticket to notting hill	correct	correct
3597	Sag: Ich möchte mit Mastercard bezahlen	3597.wav	can i i pay by mastercard	correct	correct
3598	Sag: Ich möchte mit Mastercard bezahlen	3598.wav	can i pay by master card	correct	correct
3599	Sag: Ich möchte mit Dollars bezahlen	3599.wav	can a pay by dollars	incorrect	correct
3602	Frag: eine Cola	3602.wav	i would like a coke	correct	correct
3604	Frag: ein Steak	3604.wav	i want a steak	correct	correct
3605	Frag: mein Steak rare	3605.wav	like my steak rare	incorrect	correct
3606	Frag: mein Steak rare	3606.wav	i would like my steak rare	correct	correct
3608	Frag: Pilze	3608.wav	i would like pilz	incorrect	incorrect
3610	Frag: Ich möchte die Dessertkarte	3610.wav	could i see the dessert menu	correct	correct
3611	Sag: Mir geht es gut	3611.wav	i am good	correct	correct
3618	Frag: 2 Tickets nach London	3618.wav	two ticket to london	incorrect	correct
3619	Frag: 2 Tickets nach London	3619.wav	two tickets to london	correct	correct
3620	Sag: Ich möchte um 21 Uhr morgen abreisen	3620.wav	i want to leave at nine o'clock tomorrow	correct	correct
3621	Sag: Ich heisse James	3621.wav	i am james	correct	correct
3622	Sag: Ich bin aus der Türkei	3622.wav	i am from turkey	correct	correct
3623	Frag: 2 Musical-Tickets	3623.wav	two mitch tickets please	incorrect	incorrect
3625	Frag: ein Ticket für Montagabend	3625.wav	tickets for the monday evening	incorrect	incorrect
3626	Frag: ein Ticket für Montagabend	3626.wav	tickets for the monday avenue	incorrect	incorrect
3627	Frag: 2 Tickets für König der Löwen	3627.wav	two tickets for lion king	incorrect	correct
3628	Frag: 2 Tickets für König der Löwen	3628.wav	two tickets for the ke	incorrect	incorrect
3629	Frag: 2 Tickets für König der Löwen	3629.wav	two tickets for the king of lion	incorrect	correct
3630	Sag: Ich möchte in der zweiten Reihe sitzen	3630.wav	i would like to sit in	incorrect	incorrect
3631	Sag: Ich möchte in der zweiten Reihe sitzen	3631.wav	i would sit in the	incorrect	incorrect
